id,product_id,product_name,manufacturer,product_category,voc_content_g_per_L,effective_voc_diluted_g_per_L,dilution_ratio,coverage_sqft_per_L,price_per_litre_cad,certifications,healthcare_approved,recommended_facility_types,compliant_jurisdiction_count,total_jurisdictions_checked,compliant_jurisdictions,non_compliant_jurisdictions,din_npn,sds_available,voc_classification,ipac_compatible,green_seal_eligible
1,PROD-2A4FA805,National Chemical Laboratories WaxBreak Complete GS,National Chemical Laboratories,Floor Wax Stripper,1.4,0.28,1:4,271,30.48,Green Seal GS-37; EPA Safer Choice; UL GREENGUARD Gold; LEED v4 Compliant,Yes,Rehabilitation Centre; Long-Term Care Home; Acute Care Hospital; Medical Office Building; Dental Clinic; Outpatient Surgery Centre; Emergency Department; Diagnostic Imaging Centre; Community Health Centre,0,26,,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Ultra-Low VOC,Yes,Yes
2,PROD-D43DC552,Rochester Midland Corporation DeepClean Carpet Extract Elite,Rochester Midland Corporation,Carpet Cleaner (Extraction),1.1,0.06,1:16,230,17.65,Green Seal GS-37; UL ECOLOGO; EPA Safer Choice,Yes,Dental Clinic; Diagnostic Imaging Centre; Medical Office Building; Psychiatric Facility; Rehabilitation Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,Yes
3,PROD-7F17546F,Zep Inc. BioBreak Degreaser Ultra,Zep Inc.,General Purpose Degreaser,31.8,0.49,1:64,282,12.91,None,No,,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,No,No
4,PROD-033FAE69,Nyco Products SurfaceSilk Furniture Elite,Nyco Products,Furniture Maintenance Product,12.1,12.1,RTU (Ready-to-Use),204,5.52,UL ECOLOGO; EPA Safer Choice,No,,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Conditional,No
5,PROD-00693935,Nyco Products CleanAir Mist Max,Nyco Products,Air Freshener (Spray),14.1,14.1,RTU (Ready-to-Use),1624,17.51,UL ECOLOGO; EPA Safer Choice,No,,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Low VOC,Conditional,No
6,PROD-9590BAEC,Pioneer Eclipse HygieneMax Multi Select,Pioneer Eclipse,General Purpose Cleaner,6.0,6.0,RTU (Ready-to-Use),750,6.13,UL ECOLOGO; EPA Safer Choice; LEED v4 Compliant,Yes,Medical Office Building; Psychiatric Facility; Rehabilitation Centre; Community Health Centre,17,26,US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-VA,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-MI; US-UT; US-WA,,Yes,Low VOC,Yes,No
7,PROD-A1CFEECB,3M Commercial Solutions FurniCare Pro 200,3M Commercial Solutions,Furniture Maintenance Product,8.8,8.8,RTU (Ready-to-Use),285,10.65,Green Seal GS-37; UL ECOLOGO; LEED v4 Compliant,Yes,Acute Care Hospital; Long-Term Care Home; Emergency Department; Medical Office Building; Dental Clinic,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,Yes,Yes
8,PROD-CE996859,Zep Inc. GraffitiGone Pro Select,Zep Inc.,Graffiti Remover,33.7,33.7,RTU (Ready-to-Use),17,40.64,None,No,,22,26,CA-QC; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,CA-BC; CA-FED; CA-ON; US-CA,,Yes,Low VOC,No,No
9,PROD-69CEE055,Sani Professional BathPro Tile & Surface 500,Sani Professional,Bathroom and Tile Cleaner,7.9,0.06,1:128,201,9.17,UL ECOLOGO; LEED v4 Compliant,Yes,Rehabilitation Centre; Medical Office Building; Diagnostic Imaging Centre; Outpatient Surgery Centre; Psychiatric Facility; Community Health Centre; Long-Term Care Home; Emergency Department; Acute Care Hospital; Dental Clinic,1,26,US-FED,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,Yes,Low VOC,Yes,No
10,PROD-844B0E80,Dustbane Products SlipSafe Finish HD,Dustbane Products,Floor Finish / Polish,2.9,2.9,RTU (Ready-to-Use),307,26.15,UL ECOLOGO; EPA Safer Choice,Yes,Long-Term Care Home; Outpatient Surgery Centre; Psychiatric Facility; Emergency Department; Community Health Centre; Diagnostic Imaging Centre,26,26,CA-BC; CA-FED; CA-ON; CA-QC; US-CA; US-CO; US-CT; US-DC; US-DE; US-FED; US-IA; US-IL; US-IN; US-MA; US-MD; US-ME; US-MI; US-NH; US-NJ; US-NY; US-OH; US-PA; US-RI; US-UT; US-VA; US-WA,,,Yes,Ultra-Low VOC,Yes,No
