id,jurisdiction,jurisdiction_code,country,regulation_name,authority,product_category,voc_limit_g_per_L,unit,effective_date,last_amended,source_url,scope,healthcare_context,zero_voc_threshold_g_per_L,low_voc_threshold_g_per_L,classification
1,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,General Purpose Cleaner,10.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Primary workhorse for patient room turnover and common area maintenance. IPAC protocols require low-residue, low-VOC formulations.",5.0,50.0,Low VOC
2,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,General Purpose Degreaser,50.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Used in healthcare kitchen and dietary services, mechanical rooms, and loading docks. Must meet OSHA PEL for enclosed-space use.",5.0,50.0,Low VOC
3,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Glass Cleaner,12.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"High-frequency use on interior glass partitions, patient room windows, and nurse station barriers. Low-VOC critical in ICU/NICU environments.",5.0,50.0,Low VOC
4,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Bathroom and Tile Cleaner,12.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Daily use in patient, staff, and public washrooms. Healthcare facilities require products effective against nosocomial pathogens while meeting VOC limits.",5.0,50.0,Low VOC
5,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Toilet/Urinal Care Product,10.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Daily maintenance in all facility washrooms. Acid-based products must also meet corrosion standards for plumbing in healthcare settings.,5.0,50.0,Low VOC
6,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Floor Wax Stripper,0.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Periodic use (semi-annual to annual) in corridors and common areas. Zero-VOC formulations preferred due to off-gassing during application.,5.0,50.0,Zero VOC
7,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Floor Finish / Polish,7.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Applied after stripping. Must cure to a slip-resistant finish meeting ASTM D2047 (coefficient of friction >= 0.5) in healthcare corridors.,5.0,50.0,Low VOC
8,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Carpet Cleaner (Extraction),10.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Used in administrative areas, waiting rooms, and some long-term care patient rooms. Hot water extraction preferred for allergen removal.",5.0,50.0,Low VOC
9,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Carpet Cleaner (Encapsulation),10.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,Low-moisture alternative for areas that cannot tolerate extended drying times. Lower VOC profile than extraction chemistry.,5.0,50.0,Low VOC
10,United States (Federal),US-FED,United States,40 CFR Part 59 Subpart C — National VOC Emission Standards for Consumer Products,US EPA,Disinfectant (Spray),60.0,g/L as applied,1998-09-11,2009-01-01,https://www.ecfr.gov/current/title-40/chapter-I/subchapter-C/part-59/subpart-C,Consumer and institutional products,"Critical for surface disinfection in patient care areas. Must be effective against C. difficile, MRSA, and VRE while meeting VOC thresholds.",5.0,50.0,Standard
